Algorithm,Case_Range,Average_JCT_Seconds,Average_Queue_Delay_Seconds,Average_DDL_Violation_Duration_Seconds,Total_DDL_Violation_Duration_Seconds,DDL_Violated_Jobs_Count,Finished_Jobs_Count,Do_Schedule_Count,Average_Do_Schedule_Duration_ms,Max_Do_Schedule_Duration_ms
Allox,0-260,20769.634615384617,8780.15,5046.249999999998,121109.99999999996,24,260,1,377114,377114
Allox,0-270,21403.35185185185,9151.666666666666,5644.791666666667,135475.0,24,270,1,427222,427222
Allox,0-280,22001.8,9782.614285714286,6366.153846153844,165519.99999999994,26,280,1,479136,479136
Allox,0-290,22383.279310344828,10059.31724137931,5884.241379310341,170642.99999999988,29,290,1,561985,561985
Allox,0-300,23238.086666666666,10491.13,6066.193548387094,188051.9999999999,31,300,1,634832,634832
Allox,0-310,24491.164516129033,11027.725806451614,6649.399999999998,199481.99999999994,30,310,1,710150,710150
Allox,0-320,25379.9125,11664.3375,6169.7,185091.0,30,320,1,799596,799596
Allox,0-330,25749.50606060606,12191.845454545455,6866.65625,219733.0,32,330,1,869331,869331
Allox,0-340,26757.429411764704,12771.44411764706,6847.11111111111,246495.99999999997,36,340,1,993353,993353
Allox,0-350,26810.84857142857,13092.888571428572,8171.685714285711,286008.9999999999,35,350,1,1076116,1076116
Allox,0-360,27492.81111111111,13680.21388888889,8006.380952380949,336267.9999999998,42,360,1,1224908,1224908
Allox,0-370,27551.85135135135,13956.805405405405,8391.66666666666,352449.99999999977,42,370,1,1322400,1322400
Allox,0-380,27590.713157894737,14247.281578947368,9099.285714285714,382170.0,42,380,1,1484189,1484189
Allox,0-390,27779.41282051282,14616.61282051282,8851.02173913043,407146.9999999998,46,390,1,1593147,1593147
Allox,0-400,29028.1825,15070.44,9469.673913043473,435604.99999999977,46,400,1,1711874,1711874
HydraBABWithHeuristic,0-10,2907.1,0.0,0.0,0.0,0,10,1,10,10
HydraBABWithHeuristic,0-20,5403.4,278.15,0.0,0.0,0,20,1,34,34
HydraBABWithHeuristic,0-30,13916.6,889.5666666666667,0.0,0.0,0,30,1,70,70
HydraBABWithHeuristic,0-40,13559.175,1326.75,0.0,0.0,0,40,1,109,109
HydraBABWithHeuristic,0-50,13419.52,1487.34,0.0,0.0,0,50,1,174,174
HydraBABWithHeuristic,0-60,16402.166666666664,1566.1666666666667,0.0,0.0,0,60,1,242,242
HydraBABWithHeuristic,0-70,19736.02857142857,2906.2285714285713,0.0,0.0,0,70,1,344,344
HydraBABWithHeuristic,0-80,19406.3125,3106.1,0.0,0.0,0,80,1,455,455
HydraBABWithHeuristic,0-90,17935.544444444444,2823.288888888889,0.0,0.0,0,90,1,541,541
HydraBABWithHeuristic,0-100,18431.26,3113.74,0.0,0.0,0,100,1,643,643
HydraBABWithHeuristic,0-110,17398.390909090907,2968.7363636363634,0.0,0.0,0,110,1,767,767
HydraBABWithHeuristic,0-120,17588.641666666666,3623.9666666666667,0.0,0.0,0,120,1,944,944
HydraBABWithHeuristic,0-130,18506.815384615384,4338.238461538462,0.0,0.0,0,130,1,1093,1093
HydraBABWithHeuristic,0-140,18874.342857142856,4704.021428571428,0.0,0.0,0,140,1,1228,1228
HydraBABWithHeuristic,0-150,18315.81333333333,4627.6866666666665,0.0,0.0,0,150,1,1444,1444
HydraBABWithHeuristic,0-160,19306.23125,5192.88125,0.0,0.0,0,160,1,1604,1604
HydraBABWithHeuristic,0-170,19568.882352941175,5502.605882352941,0.0,0.0,0,170,1,1800,1800
HydraBABWithHeuristic,0-180,20110.12777777778,5796.894444444444,0.0,0.0,0,180,1,2046,2046
HydraBABWithHeuristic,0-190,19738.65263157895,6044.015789473684,0.0,0.0,0,190,1,2386,2386
HydraBABWithHeuristic,0-200,19502.83,6867.465,0.0,0.0,0,200,1,2778,2778
